lemma,pos,NoRel,m_v,Mv,A_v,s_v,
genuinus,N,2,1.0000,1.0000,1.00000000,0,"IGNORE, WW"
bulbus,N,16,0.6000,1.0000,0.85000000,0.19364916731037082,
sententia,N,32,0.2000,1.0000,0.85000000,0.2783882181415011,
culmen,N,57,0.2000,1.0000,0.83859649,0.26869038202212836,
versus,N,54,0.2000,1.0000,0.82962963,0.2732720999362476,
grex,N,46,0.2000,1.0000,0.81739130,0.30878749399242966,
virtus,N,48,0.2000,1.0000,0.79166667,0.3161179456398443,
tonus,N,100,0.2000,1.0000,0.78000000,0.3218695387886216,
exemplum,N,67,0.2000,1.0000,0.77910448,0.3034809558719722,
caput,N,87,0.2000,1.0000,0.76091954,0.29994494584459935,
spatium,N,125,0.2000,1.0000,0.76000000,0.29933259094191533,
radix,N,22,0.2000,1.0000,0.74545455,0.2571297386132901,
imago,N,30,0.2000,1.0000,0.73333333,0.3155242550986462,
finitio,N,71,0.2000,1.0000,0.70140845,0.31998809737831946,
humilitas,N,20,0.2000,1.0000,0.70000000,0.2792848008753789,
unguis,N,8,0.2000,1.0000,0.70000000,0.33166247903553997,
gratia,N,49,0.2000,1.0000,0.68979592,0.3453746253274478,
quantitas,N,29,0.2000,1.0000,0.68275862,0.3695934070889451,
accessus,N,30,0.2000,1.0000,0.68000000,0.2993325909419153,
robur,N,56,0.2000,1.0000,0.67857143,0.3498541970359559,
honor,N,28,0.2000,1.0000,0.67142857,0.33896601479156213,
probatio,N,41,0.2000,1.0000,0.65853659,0.35952245410123473,
auctoritas,N,68,0.2000,1.0000,0.65294118,0.3558215796432145,
forma,N,47,0.2000,1.0000,0.62553191,0.33419836452888274,
discidium,N,17,0.2000,1.0000,0.62352941,0.3489975758633253,
duritia,N,14,0.2000,1.0000,0.60000000,0.30237157840738177,
,,1164,,,,,
